wwtp,sample_date,target_variant,totaldroplets,double_positivedroplets,fam_single_positivedroplets,hex_single_positivedroplets,cy5_single_positivedroplets,negativedroplets,percmutation,lower_ci95,upper_ci95,hcov19concentration_(gc/rxn)
STEP Aire,12/15/21,S:L452R (Delta),49395,112,18,3,,49262,84.22844025,79.20180046,91.58988188,5.195012977
STEP Aire,12/19/21,"69-70del (Alpha, Omicron)",51505,155,,30,0,51320,16.24068063,11.40448402,22.00580662,6.933238128
STEP Aire,12/19/21,S:L452R (Delta),44198,139,53,1,,44005,72.06478994,65.84095604,78.44114565,8.432129798
STEP Aire,12/22/21,"69-70del (Alpha, Omicron)",53384,76,,53,1,53254,40.79867339,32.85392564,49.72526303,4.697796651
STEP Aire,12/22/21,S:L452R (Delta),49693,100,153,1,,49439,39.43126182,33.68447404,45.69892751,9.873779778
STEP Aire,12/26/21,"69-70del (Alpha, Omicron)",54863,56,,59,0,54748,51.33055862,42.24165471,60.36022695,4.043025659
STEP Aire,12/26/21,S:L452R (Delta),47149,70,222,1,,46856,23.9475207,19.36470126,29.14825838,12.0110427
STEP Aire,12/29/21,"69-70del (Alpha, Omicron)",42021,26,,41,0,41954,61.21297424,49.28633898,72.29658164,3.074592193
STEP Aire,12/29/21,S:L452R (Delta),51541,18,116,0,,51407,13.44798132,8.381024114,19.89911682,5.015910372
STEP Aire,12/31/21,S:L452R (Delta),46852,34,188,0,,46630,15.34614957,11.01095759,20.4771111,9.151418858
STEP Aire,1/1/22,"69-70del (Alpha, Omicron)",37054,15,,37,0,37002,71.16825547,58.04107849,82.25737832,2.705862987
STEP Aire,1/9/22,"69-70del (Alpha, Omicron)",49482,20,,116,0,49346,85.31136761,78.72999112,90.57666929,5.303002279
STEP Aire,1/9/22,S:L452R (Delta),50938,26,390,0,,50522,6.274081929,4.206202126,8.87989388,15.80023492
