wwtp,sample_date,target_variant,totaldroplets,double_positivedroplets,fam_single_positivedroplets,hex_single_positivedroplets,cy5_single_positivedroplets,negativedroplets,percmutation,lower_ci95,upper_ci95,hcov19concentration_(gc/rxn)
ARA Altenrhein,1/9/22,S:L452R (Delta),51186,24,160,0,,51002,13.06391913,8.713947461,18.43557577,6.938746653
ARA Chur,11/28/21,"69-70del (Alpha, Omicron)",50643,25,,0,0,50618,0,0,7.396887899,0.951394077
ARA Chur,12/1/21,"69-70del (Alpha, Omicron)",52380,48,,0,0,52332,0,0,3.924244133,1.766474819
ARA Chur,12/5/21,"69-70del (Alpha, Omicron)",39726,90,,0,0,39636,0,0,2.113877789,4.37011363
ARA Chur,12/8/21,"69-70del (Alpha, Omicron)",52475,10,,0,0,52465,0,0,17.47670712,0.367215986
ARA Chur,12/12/21,"69-70del (Alpha, Omicron)",50909,63,,1,1,50844,1.539429591,0.089863002,6.703543566,2.461664321
ARA Chur,12/15/21,"69-70del (Alpha, Omicron)",55651,50,,0,0,55601,0,0,3.77024093,1.731908104
ARA Chur,12/15/21,S:L452R (Delta),41757,46,3,0,,41708,93.88092412,84.89256799,98.4421868,2.262321746
ARA Chur,12/19/21,"69-70del (Alpha, Omicron)",95901,90,,15,0,95796,14.29242305,8.489468573,21.81580228,2.110749349
ARA Chur,12/19/21,S:L452R (Delta),50254,67,12,1,,50174,83.76083722,75.76984737,91.61366919,3.069713914
ARA Chur,12/22/21,"69-70del (Alpha, Omicron)",45412,7,,3,0,45402,30.00231249,8.456717935,60.65653094,0.424335957
ARA Chur,12/22/21,S:L452R (Delta),52074,27,16,1,,52030,61.3736563,47.84709869,76.25561137,1.628725603
ARA Chur,12/26/21,"69-70del (Alpha, Omicron)",45712,51,,14,0,45647,21.55048836,12.7676225,32.53345708,2.741730293
ARA Chur,12/26/21,S:L452R (Delta),48873,87,59,1,,48726,59.22005055,51.54061048,67.37360453,5.804100624
ARA Chur,12/29/21,"69-70del (Alpha, Omicron)",41764,5,,7,0,41752,58.33682562,30.88962474,82.54975872,0.553699589
ARA Chur,12/29/21,S:L452R (Delta),48910,12,23,0,,48875,34.29377923,20.07928741,50.73100309,1.379299125
ARA Chur,1/1/22,"69-70del (Alpha, Omicron)",49589,27,,49,0,49513,64.49124725,53.38165306,74.63873785,2.955247755
ARA Chur,1/1/22,S:L452R (Delta),36869,14,81,0,,36774,14.75306101,8.596355879,22.78513708,4.971128757
ARA Chur,1/5/22,"69-70del (Alpha, Omicron)",52769,0,,15,0,52754,100,87.98256256,100,0.547780755
ARA Chur,1/5/22,S:L452R (Delta),48142,6,58,0,,48078,9.380653149,3.838581381,18.10060816,2.56316948
ARA Chur,1/9/22,"69-70del (Alpha, Omicron)",47600,5,,46,0,47549,90.2008168,80.10931153,96.37031298,2.065516303
ARA Chur,1/9/22,S:L452R (Delta),51380,15,184,0,,51181,7.551226347,4.417333378,11.77057176,7.477114178
ARA Sensetal,8/23/21,S:L452R (Delta),52785,17,1,1,,52766,89.47537941,76.16670408,99.75745708,0.693671563
ARA Sensetal,8/26/21,S:L452R (Delta),51190,14,0,0,,51176,100,87.18155296,100,0.527029521
ARA Sensetal,8/30/21,S:L452R (Delta),51524,21,0,0,,51503,100,91.26110598,100,0.785472319
ARA Sensetal,9/2/21,S:L452R (Delta),51401,11,0,0,,51390,100,83.97973887,100,0.412382506
ARA Sensetal,11/28/21,"69-70del (Alpha, Omicron)",53762,22,,1,0,53739,4.348715982,0.253350093,17.78355934,0.824475921
ARA Sensetal,12/1/21,"69-70del (Alpha, Omicron)",44044,18,,0,0,44026,0,0,10.12297849,0.787602621
ARA Sensetal,12/1/21,S:L452R (Delta),52838,38,1,1,,52798,95.00179822,88.32803137,99.89133484,1.459186161
ARA Sensetal,12/5/21,"69-70del (Alpha, Omicron)",50042,43,,0,0,49999,0,0,4.370315599,1.656353752
ARA Sensetal,12/5/21,S:L452R (Delta),51937,67,4,1,,51865,93.06003613,87.18089693,98.27999045,2.672941676
ARA Sensetal,12/8/21,"69-70del (Alpha, Omicron)",47691,16,,0,0,47675,0,0,11.31368287,0.646530559
ARA Sensetal,12/8/21,S:L452R (Delta),49349,12,0,0,,49337,100,85.21073179,100,0.468584954
ARA Sensetal,12/12/21,"69-70del (Alpha, Omicron)",56195,71,,5,0,56119,6.583107922,2.412164875,13.6179572,2.607608582
ARA Sensetal,12/12/21,S:L452R (Delta),48227,97,12,0,,48118,89.0019032,82.24285352,93.95320714,4.35973548
ARA Sensetal,12/15/21,"69-70del (Alpha, Omicron)",46869,13,,2,0,46854,13.3351829,2.350102873,35.77113624,0.616747956
ARA Sensetal,12/15/21,S:L452R (Delta),50025,21,12,0,,49992,63.64399824,46.65985005,78.58341668,1.271460198
ARA Sensetal,12/19/21,"69-70del (Alpha, Omicron)",102284,62,,14,1,102207,18.18742057,10.83011966,28.11791702,1.451039333
ARA Sensetal,12/19/21,S:L452R (Delta),45748,41,25,1,,45681,61.21142992,50.10028413,73.24489802,2.823927538
ARA Sensetal,12/22/21,"69-70del (Alpha, Omicron)",43432,14,,0,0,43418,0,0,12.82177724,0.621184849
ARA Sensetal,12/22/21,S:L452R (Delta),40501,14,14,0,,40473,50.00864475,32.10504045,67.91003254,1.332524164
ARA Sensetal,12/27/21,S:L452R (Delta),31859,14,8,0,,31837,63.64435564,42.85364734,81.42121624,1.330985045
ARA Sensetal,12/29/21,"69-70del (Alpha, Omicron)",52256,5,,2,0,52249,28.57279559,5.420827257,64.98313958,0.25812116
ARA Sensetal,12/29/21,S:L452R (Delta),52025,0,9,0,,52016,0,0,19.21921062,0.333350131
ARA Sensetal,1/1/22,"69-70del (Alpha, Omicron)",50514,37,,41,0,50436,52.58336775,41.55329395,63.44568958,2.977494745
ARA Sensetal,1/1/22,S:L452R (Delta),53590,33,136,0,,53421,19.5514595,14.05250994,25.96691134,6.085850519
ARA Sensetal,1/5/22,"69-70del (Alpha, Omicron)",54233,3,,14,0,54216,82.35521913,60.37070999,95.29240799,0.604068252
ARA Sensetal,1/9/22,"69-70del (Alpha, Omicron)",53904,6,,34,0,53864,85.00473157,71.92178324,93.75092042,1.430318731
ARA Sensetal,1/9/22,S:L452R (Delta),52878,17,112,0,,52749,13.19227637,8.094027505,19.7377306,4.706278449
ARA Werdhölzli,4/17/21,S:L452R (Delta),51346,1,29,0,,51316,3.334275106,0.19329935,13.87186652,1.126092807
ARA Werdhölzli,5/1/21,S:L452R (Delta),52323,0,8,0,,52315,0,0,21.34566934,0.294620658
ARA Werdhölzli,5/18/21,S:L452R (Delta),52116,0,7,0,,52109,0,0,23.99765819,0.258814602
ARA Werdhölzli,6/28/21,S:L452R (Delta),50342,1,2,0,,50339,33.3339955,2.272547369,83.91842665,0.114824978
ARA Werdhölzli,7/9/21,S:L452R (Delta),51372,13,0,0,,51359,100,86.26631088,100,0.487645787
ARA Werdhölzli,7/16/21,S:L452R (Delta),52220,3,0,0,,52217,100,52.71713956,100,0.110695382
ARA Werdhölzli,7/20/21,S:L452R (Delta),51333,11,2,1,,51319,78.5737247,58.51853972,97.49763499,0.525561158
ARA Werdhölzli,7/23/21,S:L452R (Delta),52907,19,1,1,,52886,90.47790073,78.31352985,99.78290431,0.764935833
ARA Werdhölzli,7/27/21,S:L452R (Delta),48453,10,0,0,,48443,100,82.52615547,100,0.397701098
ARA Werdhölzli,7/30/21,S:L452R (Delta),48833,30,0,0,,48803,100,93.80000643,100,1.184060593
ARA Werdhölzli,8/3/21,S:L452R (Delta),49770,13,0,0,,49757,100,86.26635914,100,0.503344212
ARA Werdhölzli,8/10/21,S:L452R (Delta),51004,28,0,0,,50976,100,93.37194327,100,1.058048735
ARA Werdhölzli,8/13/21,S:L452R (Delta),49708,36,0,0,,49672,100,94.80625685,100,1.395938114
ARA Werdhölzli,8/17/21,S:L452R (Delta),49404,24,0,0,,49380,100,92.31055379,100,0.93624019
ARA Werdhölzli,8/20/21,S:L452R (Delta),47995,62,0,0,,47933,100,96.95145476,100,2.490628755
ARA Werdhölzli,8/23/21,S:L452R (Delta),51231,29,0,0,,51202,100,93.59306397,100,1.090989963
ARA Werdhölzli,8/26/21,S:L452R (Delta),50217,55,0,1,,50161,98.21526381,94.84633774,100,2.149869862
ARA Werdhölzli,8/30/21,S:L452R (Delta),51019,28,0,1,,50990,96.55267047,90.15310425,100,1.095524658
ARA Werdhölzli,9/2/21,S:L452R (Delta),51421,37,0,1,,51383,97.36936796,92.44540564,100,1.424414025
ARA Werdhölzli,9/6/21,S:L452R (Delta),48888,32,0,2,,48854,94.1195725,88.63814515,100,1.340480038
ARA Werdhölzli,9/9/21,S:L452R (Delta),51918,35,0,0,,51883,100,94.66176826,100,1.299359007
ARA Werdhölzli,9/13/21,S:L452R (Delta),50528,30,0,1,,50497,96.77515129,90.77504014,100,1.18248458
ARA Werdhölzli,9/16/21,S:L452R (Delta),51163,10,0,0,,51153,100,82.52607664,100,0.376633621
ARA Werdhölzli,9/19/21,S:L452R (Delta),51328,15,0,0,,51313,100,87.98260476,100,0.563161589
ARA Werdhölzli,9/23/21,S:L452R (Delta),51314,16,2,0,,51296,88.89062129,69.48352995,98.06182199,0.675998076
ARA Werdhölzli,9/27/21,S:L452R (Delta),51381,7,0,0,,51374,100,76.00480917,100,0.262517171
ARA Werdhölzli,9/30/21,S:L452R (Delta),50878,8,0,0,,50870,100,78.65693422,100,0.302988918
ARA Werdhölzli,10/6/21,S:L452R (Delta),64254,15,0,0,,64239,100,87.98229388,100,0.449856945
ARA Werdhölzli,10/10/21,S:L452R (Delta),50100,9,0,0,,50091,100,80.78352687,100,0.346159645
ARA Werdhölzli,10/13/21,S:L452R (Delta),52295,5,0,0,,52290,100,68.10424547,100,0.184231226
ARA Werdhölzli,10/17/21,S:L452R (Delta),52493,13,0,0,,52480,100,86.26627886,100,0.47723071
ARA Werdhölzli,10/20/21,S:L452R (Delta),50924,12,0,0,,50912,100,85.21068439,100,0.454090644
ARA Werdhölzli,10/24/21,S:L452R (Delta),50037,34,0,1,,50002,97.14382798,91.80982016,100,1.34822184
ARA Werdhölzli,11/3/21,S:L452R (Delta),47262,15,2,1,,47244,83.33597844,66.91502733,98.12756829,0.733965703
ARA Werdhölzli,11/7/21,S:L452R (Delta),46112,21,1,0,,46090,95.45558058,81.47717808,99.73499926,0.919485712
ARA Werdhölzli,11/10/21,S:L452R (Delta),52648,33,0,1,,52614,97.05974541,91.57337124,100,1.244715084
ARA Werdhölzli,11/14/21,S:L452R (Delta),52925,39,2,0,,52884,95.12374879,85.6927399,99.17226701,1.493220372
ARA Werdhölzli,11/17/21,S:L452R (Delta),29713,38,0,0,,29675,100,95.07406323,100,2.465741779
ARA Werdhölzli,11/21/21,S:L452R (Delta),46835,40,0,0,,46795,100,95.31354919,100,1.646294898
ARA Werdhölzli,11/24/21,S:L452R (Delta),44216,49,0,0,,44167,100,96.15802487,100,2.136436669
ARA Werdhölzli,11/28/21,"69-70del (Alpha, Omicron)",48528,17,,0,0,48511,0,0,10.68518416,0.675095559
ARA Werdhölzli,11/28/21,S:L452R (Delta),45784,51,0,0,,45733,100,96.30588375,100,2.147489671
ARA Werdhölzli,12/1/21,"69-70del (Alpha, Omicron)",53084,80,,0,0,53004,0,0,2.374066503,2.905938676
ARA Werdhölzli,12/1/21,S:L452R (Delta),55108,108,3,1,,54996,96.43207241,92.9662919,99.3598843,3.9199246
ARA Werdhölzli,12/5/21,"69-70del (Alpha, Omicron)",35705,36,,0,0,35669,0,0,5.198012187,1.943681669
ARA Werdhölzli,12/5/21,S:L452R (Delta),52699,72,0,0,,52627,100,97.3693399,100,2.634265904
ARA Werdhölzli,12/8/21,"69-70del (Alpha, Omicron)",51529,32,,1,1,51495,2.942118765,0.175392538,12.67787933,1.271754148
ARA Werdhölzli,12/8/21,S:L452R (Delta),54793,35,4,0,,54754,89.74686602,77.76557427,96.69854248,1.371913642
ARA Werdhölzli,12/12/21,"69-70del (Alpha, Omicron)",51380,83,,4,5,51288,4.351554781,1.448430909,10.37896539,3.453150283
ARA Werdhölzli,12/12/21,S:L452R (Delta),53837,90,21,0,,53726,81.09690414,73.15127384,87.62433244,3.976700321
ARA Werdhölzli,12/15/21,"69-70del (Alpha, Omicron)",53261,80,,12,4,53165,12.50987046,7.199089753,20.94896627,3.476051875
ARA Werdhölzli,12/15/21,S:L452R (Delta),48960,61,42,0,,48857,59.24872658,49.618945,68.42320576,4.057753714
ARA Werdhölzli,12/19/21,"69-70del (Alpha, Omicron)",45989,58,,28,0,45903,32.57869392,23.28640316,42.89421443,3.606479866
ARA Werdhölzli,12/19/21,S:L452R (Delta),49297,76,78,0,,49143,49.38975342,41.55208724,57.24692931,6.02853946
ARA Werdhölzli,12/22/21,"69-70del (Alpha, Omicron)",53841,69,,70,2,53700,49.67816683,42.1002569,58.6696787,5.052518691
ARA Werdhölzli,12/22/21,S:L452R (Delta),52722,105,198,2,,52417,34.49175615,29.49647567,40.19936632,11.17892013
ARA Werdhölzli,12/26/21,"69-70del (Alpha, Omicron)",53237,16,,26,0,53195,61.91406751,46.84254038,75.57184793,1.52068663
ARA Werdhölzli,12/26/21,S:L452R (Delta),53016,23,77,0,,52916,23.01672396,15.51143697,31.88756673,3.637772998
ARA Werdhölzli,12/29/21,"69-70del (Alpha, Omicron)",54529,23,,18,0,54488,43.91170168,29.43666385,59.1257445,1.449279964
ARA Werdhölzli,12/29/21,S:L452R (Delta),48572,20,65,0,,48487,23.54517419,15.39280553,33.26924466,3.374783073
ARA Werdhölzli,12/31/21,S:L452R (Delta),46413,15,148,0,,46250,9.217166101,5.411974869,14.29377897,6.778667527
ARA Werdhölzli,1/1/22,"69-70del (Alpha, Omicron)",43127,11,,41,1,43074,77.36925719,66.41372444,88.47690338,2.369333845
ARA Werdhölzli,1/5/22,"69-70del (Alpha, Omicron)",55527,16,,107,0,55404,87.00441023,80.32403589,92.16174545,4.27282395
ARA Werdhölzli,1/5/22,S:L452R (Delta),52740,20,385,0,,52335,4.956407733,3.118757343,7.362912345,14.85321314
ARA Werdhölzli,1/9/22,"69-70del (Alpha, Omicron)",52083,11,,75,0,51997,87.21851552,79.1084189,93.14786294,3.184152829
ARA Werdhölzli,1/9/22,S:L452R (Delta),53185,17,409,0,,52759,4.006054349,2.410439576,6.153897425,15.49523658
CDA Lugano,11/28/21,"69-70del (Alpha, Omicron)",51821,9,,0,0,51812,0,0,19.21921591,0.334662521
CDA Lugano,12/1/21,"69-70del (Alpha, Omicron)",57228,39,,0,0,57189,0,0,4.807197971,1.313520047
CDA Lugano,12/1/21,S:L452R (Delta),53968,54,0,0,,53914,100,96.50729567,100,1.928889925
CDA Lugano,12/5/21,"69-70del (Alpha, Omicron)",40870,30,,0,0,40840,0,0,6.203916895,1.41484447
CDA Lugano,12/5/21,S:L452R (Delta),50057,63,0,0,,49994,100,96.99906291,100,2.426508466
CDA Lugano,12/8/21,"69-70del (Alpha, Omicron)",52612,32,,0,0,52580,0,0,5.827362547,1.172276117
CDA Lugano,12/8/21,S:L452R (Delta),47766,27,0,0,,47739,100,93.13513183,100,1.089432444
CDA Lugano,12/12/21,"69-70del (Alpha, Omicron)",46240,42,,0,0,46198,0,0,4.472112846,1.750900302
CDA Lugano,12/12/21,S:L452R (Delta),54124,59,4,0,,54061,93.65425509,85.86952788,97.98552447,2.2440689
CDA Lugano,12/15/21,"69-70del (Alpha, Omicron)",53741,21,,2,1,53717,8.335039638,1.499450727,24.51939212,0.860666964
CDA Lugano,12/15/21,S:L452R (Delta),43296,14,5,0,,43277,73.68846584,51.72694594,89.65375376,0.845733977
CDA Lugano,12/19/21,"69-70del (Alpha, Omicron)",102631,78,,24,0,102529,23.53835901,16.02446939,32.3653747,1.915888166
CDA Lugano,12/19/21,S:L452R (Delta),47793,50,33,0,,47710,60.26177698,49.54073008,70.35783885,3.349066919
CDA Lugano,12/22/21,"69-70del (Alpha, Omicron)",42960,30,,21,0,42909,41.19085739,28.36136193,54.88464557,2.288739999
CDA Lugano,12/22/21,S:L452R (Delta),44568,30,70,2,,44466,29.43555689,21.60547062,39.45795105,4.414760157
CDA Lugano,12/26/21,"69-70del (Alpha, Omicron)",48813,40,,106,0,48667,72.63251815,65.05108432,79.426454,5.77165413
CDA Lugano,12/26/21,S:L452R (Delta),52054,69,329,0,,51656,17.39177293,13.87883289,21.3236992,14.78860495
CDA Lugano,12/29/21,"69-70del (Alpha, Omicron)",53474,26,,107,0,53341,80.47070066,73.19054685,86.58889961,4.798243221
CDA Lugano,12/29/21,S:L452R (Delta),47114,27,305,1,,46781,8.134584621,5.531865652,11.43052447,13.66678071
CDA Lugano,1/1/22,"69-70del (Alpha, Omicron)",50547,36,,97,0,50414,72.95832609,65.02139224,80.01907173,5.076459041
CDA Lugano,1/1/22,S:L452R (Delta),43854,22,297,1,,43534,6.898493827,4.473286515,10.05709922,14.11116134
CDA Lugano,1/5/22,"69-70del (Alpha, Omicron)",57103,9,,106,0,56988,92.18118001,86.34645356,96.1640953,3.884268461
CDA Lugano,1/5/22,S:L452R (Delta),50777,17,346,0,,50414,4.699243561,2.831590393,7.204639028,13.82385717
CDA Lugano,1/9/22,"69-70del (Alpha, Omicron)",54063,11,,151,0,53901,93.21936511,88.66759211,96.42013903,5.782278585
CDA Lugano,1/9/22,S:L452R (Delta),53525,17,561,0,,52947,2.956726569,1.775224002,4.555373519,20.91988682
STEP Aire,8/23/21,S:L452R (Delta),49931,42,0,0,,49889,100,95.53162428,100,1.621415754
STEP Aire,8/26/21,S:L452R (Delta),51965,18,0,0,,51947,100,89.88045656,100,0.667527933
STEP Aire,8/30/21,S:L452R (Delta),53342,16,0,0,,53326,100,88.68950518,100,0.578027461
STEP Aire,9/2/21,S:L452R (Delta),52330,9,1,1,,52319,81.81974542,60.66564601,99.54402262,0.405060824
STEP Aire,9/6/21,S:L452R (Delta),49585,17,1,0,,49567,94.44539686,77.74422935,99.67449202,0.699574014
STEP Aire,9/9/21,S:L452R (Delta),52400,18,0,0,,52382,100,89.88044347,100,0.66198548
STEP Aire,9/13/21,S:L452R (Delta),52919,8,0,0,,52911,100,78.65688331,100,0.291302244
STEP Aire,9/16/21,S:L452R (Delta),52193,4,0,0,,52189,100,61.86796058,100,0.147671612
STEP Aire,9/20/21,S:L452R (Delta),52055,4,0,0,,52051,100,61.86796298,100,0.148063111
STEP Aire,9/23/21,S:L452R (Delta),50669,4,0,1,,50664,80.00078946,49.49487866,100,0.190143613
STEP Aire,9/27/21,S:L452R (Delta),51762,3,0,0,,51759,100,52.7171459,100,0.111674864
STEP Aire,9/30/21,S:L452R (Delta),50735,8,0,0,,50727,100,78.65693794,100,0.30384298
STEP Aire,10/6/21,S:L452R (Delta),48348,3,0,0,,48345,100,52.7171969,100,0.119560813
STEP Aire,10/10/21,S:L452R (Delta),47271,3,0,0,,47268,100,52.71721453,100,0.122284916
STEP Aire,10/13/21,S:L452R (Delta),45573,4,0,0,,45569,100,61.86809191,100,0.169123546
STEP Aire,10/17/21,S:L452R (Delta),49748,6,0,0,,49742,100,72.60727604,100,0.232399109
STEP Aire,10/20/21,S:L452R (Delta),51452,7,0,0,,51445,100,76.00480746,100,0.262154892
STEP Aire,10/24/21,S:L452R (Delta),46516,14,0,0,,46502,100,87.18170655,100,0.579994238
STEP Aire,11/3/21,S:L452R (Delta),48914,8,0,0,,48906,100,78.65698723,100,0.315155556
STEP Aire,11/7/21,S:L452R (Delta),43522,19,0,1,,43502,95.0010915,85.86861103,100,0.885632611
STEP Aire,11/10/21,S:L452R (Delta),49961,9,0,1,,49951,90.00090074,72.70590535,100,0.385695868
STEP Aire,11/14/21,S:L452R (Delta),52007,17,0,0,,51990,100,89.31804734,100,0.629927766
STEP Aire,11/17/21,S:L452R (Delta),47479,43,0,0,,47436,100,95.63337266,100,1.745807163
STEP Aire,11/21/21,S:L452R (Delta),47506,44,0,0,,47462,100,95.73050737,100,1.785410372
STEP Aire,11/24/21,S:L452R (Delta),51055,48,0,0,,51007,100,96.0792558,100,1.812340655
STEP Aire,11/28/21,"69-70del (Alpha, Omicron)",53796,21,,3,0,53772,12.50244059,3.265150387,29.30075998,0.859786839
STEP Aire,11/28/21,S:L452R (Delta),51003,47,0,1,,50955,97.91762674,93.99846497,100,1.814189293
STEP Aire,12/1/21,"69-70del (Alpha, Omicron)",55331,76,,0,0,55255,0,0,2.497280301,2.64835469
STEP Aire,12/1/21,S:L452R (Delta),52373,103,0,3,,52267,97.17259538,95.37905902,100,3.903650437
,,,,,,,,,,,,
STEP Aire,12/5/21,"69-70del (Alpha, Omicron)",35061,39,,0,0,35022,0,0,4.808184921,2.144443486
STEP Aire,12/5/21,S:L452R (Delta),50818,105,0,0,,50713,100,98.18920278,100,3.985230341
STEP Aire,12/8/21,"69-70del (Alpha, Omicron)",49258,42,,1,0,49215,2.326573561,0.134228047,9.846496846,1.682728119
STEP Aire,12/8/21,S:L452R (Delta),47836,55,1,0,,47780,98.2153125,92.37675222,99.89730255,2.256940672
STEP Aire,12/10/21,"69-70del (Alpha, Omicron)",49809,55,,1,0,49753,1.786701106,0.102815303,7.631337016,2.16748998
STEP Aire,12/10/21,S:L452R (Delta),49579,92,1,2,,49484,96.84503625,94.22536526,99.97530522,3.695514412
STEP Aire,12/15/21,"69-70del (Alpha, Omicron)",51944,124,,12,0,51808,8.834082519,4.831422587,14.371419,5.051325069
