sample_date,wwtp,dilution,filt_protocol,replicate,target,TotalDroplets,SARS-N1_PositiveDroplets,SARS-N1_PosCtrl-PosDrops,SARS-N1_NTCtrl-PosDrops,SARS-N1_(gc/rxn),IBV-M_PositiveDroplets,IBV-M_PosCtrl-PosDrops,IBV-M_NTCtrl-PosDrops,IBV-M_(gc/rxn),IAV-M_PositiveDroplets,IAV-M_PosCtrl-PosDrops,IAV-M_NTCtrl-PosDrops,IAV-M_(gc/rxn),SARS-N2_PositiveDroplets,SARS-N2_PosCtrl-PosDrops,SARS-N2_NTCtrl-PosDrops,SARS-N2_(gc/rxn),RSV_PositiveDroplets,RSV_PosCtrl-PosDrops,RSV_NTCtrl-PosDrops,RSV_(gc/rxn),SARS-N1_(gc/eluate),IBV-M_(gc/eluate),IAV-M_(gc/eluate),SARS-N2_(gc/eluate),RSV_(gc/eluate),cases_(#/day/1e5-ppl),flowrate_(kL/day),Population,IAV-M_normLoad-(gc/d/1e5),IBV-M_normLoad-(gc/d/1e5),RSV_normLoad-(gc/d/1e5),IAV-M_normLoad-range,IBV-M_normLoad-range,RSV_normLoad-range
2021-12-06,ARA Werdhölzli,3.0,v4.0,A,respv4,27413.0,,,,,0.0,3542.0,0.0,0.0,6.0,1559.0,0.0,10.54371724772639,257.5,1180.0,0.0,454.6238193330207,4.0,2026.0,0.0,7.0299998132944825,,0.0,506.09842789086673,21821.943327984998,337.4399910381352,35.00437999575372,178658.25406666668,471000,479929201236.02466,0.0,319991717893.5503,159914143322.2136,0.0,160048385918.82306
2021-12-06,ARA Werdhölzli,3.0,v4.0,A,sn1flu,26609.0,170.0,2171.0,0.0,308.7725010573091,0.5,4796.0,0.0,0.904473718866601,0.0,4870.0,0.0,0.0,,,,,,,,,14821.080050750837,43.414738505596844,0.0,,,35.00437999575372,178658.25406666668,471000,0.0,41169858716.40562,,0.0,41169858716.40562,
2021-12-06,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.61732180645161,45222.0,124000,,,,,,
2021-12-06,STEP Aire,3.0,v4.0,A,respv4,26392.5,,,,,0.0,2580.0,0.0,0.0,0.0,1453.0,0.0,0.0,117.5,793.0,0.0,214.71544572222743,1.5,1092.0,0.0,2.708251948106029,,0.0,0.0,10306.341394666917,129.99609350908938,70.85092573892526,144143.0,454000,0.0,0.0,103182967547.80106,0.0,0.0,31030477847.942703
2021-12-07,ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.717161796875,21109.0,64000,,,,,,
2021-12-07,ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.66760125454546,14763.0,55000,,,,,,
2021-12-07,ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.62812593548384,26911.0,62000,,,,,,
2021-12-07,ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.7117396029724,175609.9044666667,471000,,,,,,
2021-12-07,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.06761308870967,42986.0,124000,,,,,,
2021-12-07,STEP Aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7098737391289,187444.0,454000,,,,,,
2021-12-08,ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.42556578125,45108.0,64000,,,,,,
2021-12-08,ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.09025443636364,16854.0,55000,,,,,,
2021-12-08,ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.45562258064516,45668.0,62000,,,,,,
2021-12-08,ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2167435626327,406776.54215,471000,,,,,,
2021-12-08,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07052966935484,59444.0,124000,,,,,,
2021-12-08,STEP Aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.88801851823158,269848.0,454000,,,,,,
2021-12-09,ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.416796078125,75870.79652404785,64000,,,,,,
2021-12-09,ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.63213210909092,19836.0,55000,,,,,,
2021-12-09,ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.58124375806452,28250.0,62000,,,,,,
2021-12-09,ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.14459983227177,355541.8622333336,471000,,,,,,
2021-12-09,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48640762096774,52187.0,124000,,,,,,
2021-12-09,STEP Aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.14571186508208,174054.0,454000,,,,,,
2021-12-10,ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.96107614062498,56088.6834564209,64000,,,,,,
2021-12-10,ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.81732065454545,11580.0,55000,,,,,,
2021-12-10,ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.600203,31340.0,62000,,,,,,
2021-12-10,ARA Werdhölzli,3.0,v4.0,A,respv4,27524.0,,,,,0.0,3542.0,0.0,0.0,9.0,1559.0,0.0,15.753411777998982,268.0,1180.0,0.0,471.3232650080921,2.0,2026.0,0.0,3.5003129645236006,,0.0,756.1637653439511,22623.51672038842,168.01502229713282,88.29096482802548,297835.61719999945,471000,1195395444562.0557,0.0,265609648963.57874,0.0,0.0,0.0
2021-12-10,ARA Werdhölzli,3.0,v4.0,A,sn1flu,26499.5,176.5,2171.0,0.0,321.90131973248685,0.0,4796.0,0.0,0.0,0.0,4870.0,0.0,0.0,,,,,,,,,15451.263347159367,0.0,0.0,,,88.29096482802548,297835.61719999945,471000,0.0,0.0,,0.0,0.0,
2021-12-10,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7950665483871,44846.0,124000,,,,,,
2021-12-10,STEP Aire,3.0,v4.0,A,respv4,26603.0,,,,,0.5,2580.0,0.0,0.8919132120933065,1.5,1453.0,0.0,2.675838731022002,262.5,793.0,0.0,477.1650679646972,5.5,1092.0,0.0,10.030531030340896,,42.81183418047871,128.4402590890561,22903.923262305463,481.465489456363,99.65386667360234,312069.0,454000,220717088180.96173,73569638110.50558,827370340468.9304,220717088180.96173,73569638110.50558,385936164107.0069
2021-12-11,ARA Altenrhein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5173099375,37597.98110961914,64000,,,,,,
2021-12-11,ARA Chur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.63610812727273,14279.0,55000,,,,,,
2021-12-11,ARA Sensetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.08065446774194,23720.0,62000,,,,,,
2021-12-11,ARA Werdhölzli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.79311703821655,287674.3666166665,471000,,,,,,
2021-12-11,CDA Lugano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.114665669354835,45657.0,124000,,,,,,
